sample,gem,gc,ri,np.obs,np.2,size.cat,geo,j.w1,db.ft,s.ft,db.v,s.v,db.rs,s.rs,db.ft232,s.ft232,db.ft235,s.ft235,db.ft147,s.ft147,corr.ft,residual.ft,percent_diff.ft,corr.ft147,residual.ft147,percent_diff.ft147,corr.ft232,residual.ft232,percent_diff.ft232,corr.ft235,residual.ft235,percent_diff.ft235,corr.rs,residual.rs,percent_diff.rs,corr.v,residual.v,percent_diff.v,slope.ft,slope.ft147,slope.ft232,slope.ft235,slope.rs,slope.v
"Bail,5a,6",B2,B,2,term2,term2,rare- large,hexagonal,106.8,0.753081,0.746153090788191,955881,810996.6658414168,56.35156543614801,53.10300282803387,0.710516,0.7023452289787563,0.716134,0.7080289354305627,0.920183,0.9174055621989291,1.0183394436458395,-0.020738995772061397,-2.7794558553867246,1.0062030649061704,-0.008485392675625425,-0.9249336417022358,1.0224567555448398,-0.02412665514394119,-3.435156123865539,1.0219651105458702,-0.02383502704509366,-3.366391661747445,1.010768143576481,-3.855364355490046,-7.260162608836014,1.1990861308192997,-335186.9839722662,-41.33025425258764,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,5a,7",A2,A,2,term2,term2,common,hexagonal,100.9,0.732659,0.7526149844811745,894612,987382.1921918369,51.95439393705824,54.617518093388654,0.687349,0.7098154921869697,0.693147,0.7153699736696099,0.911176,0.9196318551075584,1.0183394436458395,0.006519426039057419,0.8662365450445655,1.0062030649061704,0.0028037712386137503,0.3048797432409327,1.0224567555448398,0.00703086371997963,0.9905199023364875,1.0219651105458702,0.006997923190071531,0.9782243381245811,1.010768143576481,2.1036717829871137,3.8516429461150468,1.1990861308192997,-85334.64947267855,-8.642514534645265,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,5a,8",A1,A,1,term2,term2,rare- large,hexagonal,107.5,0.764173,0.7715049894585948,1358040,1325763.8019137334,59.052689316743674,59.36809587189773,0.723162,0.7317636508735388,0.72857,0.7369252418638204,0.923217,0.9259742972412452,1.0183394436458395,-0.006682518210577304,-0.8661665578166611,1.0062030649061704,-0.00296947773223466,-0.32068684207343806,1.0224567555448398,-0.0076382213797786536,-1.0438098928063138,1.0219651105458702,-0.007647878726584345,-1.0378093044067054,1.010768143576481,-0.3204812819859697,-0.539820718989358,1.1990861308192997,-302643.12718410837,-22.827831529812816,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"15MFS07,5a1,2",C2,C,2,term0,term2,rare- large,ellipsoid,102.5,0.709697,0.7435321045708004,586575,690933.0902978812,47.68746492701946,54.45483340757638,0.660039,0.697856655410091,0.666527,0.7037985993769528,0.902349,0.9184082747010014,1.0789940033409335,-0.022226702618250105,-2.9893400004671404,1.025249465210517,-0.006724554982243447,-0.7321966893681032,1.0962244132764534,-0.025694210104486026,-3.6818750534645237,1.093844539589943,-0.02527832006231312,-3.5916979779003677,1.1710832345305542,-1.391157265719933,-2.554699332761854,1.3282935307858121,-88210.68752280658,-12.766892881737132,0.9267892100453374,0.9753723692942063,0.912221975618247,0.9142066937362753,0.8539102691542371,0.7528456450498594
"FCT,5a1,6",A2,A,2,term1,term2,rare- large,hexagonal,106.7,0.743695,0.770338865668131,1131030,1574841.5749019952,54.25128825808683,59.05628011812851,0.700005,0.7304052113947049,0.705573,0.7355915626260962,0.915335,0.9255870556903395,1.0183394436458395,0.013004913125938433,1.688206801646831,1.0062030649061704,0.0045741732744499775,0.4941915778023038,1.0224567555448398,0.014680370229539386,2.0098939603001043,1.0219651105458702,0.014520573682914817,1.9739994883948495,1.010768143576481,4.220806198869546,7.147091199152392,1.1990861308192997,218639.18836144265,13.883249708787304,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"FCT,5a1,7",A1,A,1,term1,term2,rare- large,hexagonal,103.8,0.709107,0.7254902331324244,587844,857298.5394614415,47.595052235285465,48.89309301892288,0.659549,0.6783799334913714,0.666247,0.6844873053458634,0.903204,0.9104145093719423,1.0183394436458395,0.0033786052670541356,0.46569962113293334,1.0062030649061704,0.00160787633642967,0.17660926093311913,1.0224567555448398,0.004019602828527757,0.5925297359313598,1.0219651105458702,0.003606116340008958,0.5268346559308108,1.010768143576481,0.7855304276377524,1.606628624075249,1.1990861308192997,152422.95197610103,17.779448460492393,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,5a1,8",A2,A,2,term0,term2,rare- large,hexagonal,104.1,0.730479,0.7378413876635188,805427,1216064.783615138,51.47803422121929,51.33218686829621,0.683746,0.69270154076486945,0.689789,0.6985561259266109,0.912531,0.9146001178002242,1.0183394436458395,-0.0060341907914504,-0.8178167953628267,1.0062030649061704,-0.0035913712216683047,-0.3926711960530019,1.0224567555448398,-0.006399176011892549,-0.9237998813784485,1.0219651105458702,-0.006384165711714407,-0.9139087719323954,1.010768143576481,-0.7001702164521717,-1.3639984173061033,1.1990861308192997,250288.43852774182,20.581834282190144,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,5a1,9",B1,B,1,term2,term2,rare- large,hexagonal,104.9,0.77013,0.7631623444390759,1268880,1148696.7037495063,60.54221113854886,57.17219817357264,0.728785,0.7220686527432498,0.734043,0.7274040432359469,0.926291,0.9231738769271877,1.0183394436458395,-0.021091411295894424,-2.76368605573649,1.0062030649061704,-0.008862966267813799,-0.9600538413537493,1.0224567555448398,-0.0230824938464963,-3.196717342430302,1.0219651105458702,-0.02276229240447536,-3.12925018992395,1.010768143576481,-4.021940186953742,-7.034783190849655,1.1990861308192997,-372799.70592448674,-32.4541460515745,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,5a1,10",A2,A,2,term1,term2,rare- large,hexagonal,105.4,0.757645,0.74410371133743,1123870,1047073.0609133804,57.45660061274191,52.658499358621846,0.716174,0.6999657854662544,0.721667,0.7056918347185517,0.919663,0.9167169663987449,1.0183394436458395,-0.027436076443622004,-3.687130708474658,1.0062030649061704,-0.00865076288205846,-0.9436678057833211,1.0224567555448398,-0.03229115897931567,-4.613248197239555,1.0219651105458702,-0.03182666071375484,-4.509994185556667,1.010768143576481,-5.416802178934596,-10.28666263739188,1.1990861308192997,-300543.86893050594,-28.703237639247085,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"FCT,2b,2",B1,B,1,term1,term2,rare- large,hexagonal,123,0.776178,0.7913147714306611,1482270,2019984.8614124458,62.38170187985801,65.20219091193,0.738761,0.7548561356565965,0.74368,0.7595947055985293,0.925261,0.9325402058894116,1.0183394436458395,9.020987405206071e-4,0.11399998750050548,1.0062030649061704,0.0015397518512634267,0.16511372287641865,1.0224567555448398,-4.950395264649021e-4,-0.06558064551390337,1.0219651105458702,-4.2030781222357483e-4,-0.055333167691366356,1.010768143576481,2.1487539096844515,3.295524091493826,1.1990861308192997,242615.46228292235,12.010756462465611,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"MM,2b,4",B2,B,2,term2,term2,rare- large,hexagonal,120.5,0.766457,0.803480443977199,1250650,2429032.95221043,59.616954331189724,69.49827314305388,0.725386,0.7689942952983635,0.730464,0.7734791220156312,0.923497,0.9366340174727011,1.0183394436458395,0.022967049018739694,2.858445303914758,1.0062030649061704,0.007408505641047447,0.790971233464022,1.0224567555448398,0.027318479220714287,3.552494392707418,1.0219651105458702,0.02697039950585256,3.486894311454669,1.010768143576481,9.23935488803339,13.294366133407781,1.1990861308192997,929395.8827012728,38.2619709566113,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"C50,2b,6",B2,B,2,term2,term2,rare- large,hexagonal,111.9,0.778233,0.7757852812145333,1888680,1341870.98677829,62.94912046156065,60.52746822420985,0.740771,0.7367582554693501,0.745729,0.7418277672451586,0.9282,0.9273849772982384,1.0183394436458395,-0.01672007903229933,-2.1552457151704596,1.0062030649061704,-0.006572707547668921,-0.7087356069555134,1.0224567555448398,-0.020648057792356345,-2.8025553346806475,1.0219651105458702,-0.020281252677102568,-2.7339570682853713,1.010768143576481,-3.0994974044940875,-5.120811253847137,1.1990861308192997,-922819.0067775049,-68.77106785005533,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,2b,7",A2,A,2,term1,term2,rare- large,hexagonal,114.3,0.753591,0.7728152319608466,1098720,1534732.845209993,56.433601054280565,59.671746386699,0.710316,0.7333186705155281,0.716129,0.7384484231338018,0.919988,0.9263701729711386,1.0183394436458395,0.005403792284334741,0.6992347020158779,1.0062030649061704,6.754276942406712e-4,0.07291120914163052,1.0224567555448398,0.007051277743939766,0.9615571002689279,1.0219651105458702,0.006589570483698237,0.8923535181690343,1.010768143576481,2.6304602137280853,4.408217243520164,1.1990861308192997,217272.93155621202,14.157052299645231,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"BF16,2b1,2",A1,A,1,term0,term2,rare- large,hexagonal,115.7,0.770585,0.7782908113178844,1365960,2004887.2502331794,60.80150333868287,61.220006248798796,0.731744,0.7396860477200367,0.736932,0.7447010777500268,0.924931,0.9282052651014111,1.0183394436458395,-0.006426288863944807,-0.8256925008613598,1.0062030649061704,-0.0024631419253179354,-0.26536607988846356,1.0224567555448398,-0.008490548409366583,-1.1478583968884277,1.0219651105458702,-0.008417715094762523,-1.1303481821451171,1.010768143576481,-0.23621640750090478,-0.3858483884188424,1.1990861308192997,366983.55897924886,18.30444873828025,0.9819908344312178,0.9938351758978702,0.9780364739896767,0.9785069858851269,0.9893465740437968,0.8339684483855466
"15MFS07,2b,8",C2,C,2,term2,term2,rare- large,ellipsoid,105.2,0.596236,0.7465105750288261,262232,709559.6182737562,33.73975754114083,55.10989551302074,0.533323,0.7013321709039053,0.541585,0.70721037713682,0.858275,0.9193759181273655,1.0789940033409335,0.10317550645284124,13.821037491512719,1.025249465210517,0.039429933373808956,4.288771610868595,1.0962244132764534,0.11669047814206734,16.63840373837007,1.093844539589943,0.11480058216300071,16.232875799670413,1.1710832345305542,15.597831119464878,28.303140432882152,1.3282935307858121,361238.54910873115,50.9102462718448,0.9267892100453374,0.9753723692942063,0.912221975618247,0.9142066937362753,0.8539102691542371,0.7528456450498594
